data_id,property_count
1003590,22
1095098,17
1097024,17
1110588,9
1652712,7
1652778,7
1654242,7
1697192,15
1697892,12
1697978,13
2302196,22
2302780,22
2681076,10
2682056,17
2682292,14
2969946,17
2969992,17
2970048,14
2970132,21
2970178,17
2970250,17
2970282,16
2970326,11
2970342,14
2970410,19
2970452,11
2970470,10
2970500,18
2970782,18
2970844,20
2970860,20
2970910,22
2970954,17
2971130,17
2971140,20
2971154,20
2971162,15
2971190,18
2971230,18
2971274,16
2971364,19
2971382,19
2971434,18
2971496,20
2971508,16
2971514,14
2971524,21
2971538,19
2971560,21
2971608,10
2971630,16
2971670,17
2971710,18
2971734,17
2971748,18
2971772,17
2971812,21
2984028,21
2984034,22
2984046,16
2984260,17
2984282,21
2984328,23
2984376,23
2984546,18
2984690,20
2984846,25
2984896,24
2984934,20
2985000,19
2985520,22
2985570,17
2985626,19
2985670,18
2998736,14
2998760,18
2998774,19
2998782,12
2998808,17
2998890,13
2998912,12
2998954,17
2998976,12
2998988,17
2998994,16
2998996,15
2999002,13
2999014,13
2999018,8
2999022,18
2999030,14
2999056,17
2999092,14
2999114,9
2999164,17
2999174,15
2999190,12
2999202,18
2999214,22
2999250,17
2999302,14
2999304,21
2999348,14
2999372,19
2999378,17
2999382,18
2999422,15
2999430,12
2999500,18
2999506,15
2999512,14
2999530,14
2999542,13
2999574,15
2999614,14
2999638,18
2999694,14
2999720,15
2999732,15
2999738,15
2999742,20
2999746,16
2999774,20
2999786,19
3034367,22
3095375,26
3095447,26
3095475,25
3095699,26
3095727,28
3095741,28
3095777,24
3095811,27
3095813,27
3095917,27
3095997,27
3096009,27
3096011,27
3096049,27
3096109,28
3096227,30
3096231,30
3096313,16
3096325,16
3096441,25
3096497,25
3096785,26
3097259,27
3107885,17
3109725,17
3109739,17
3318188,22
3446898,17
3623790,15
3623818,15
3623876,15
3623886,15
3623962,15
3624310,15
3624618,15
3624836,15
3624926,15
3625196,15
3625310,15
3625326,15
3625364,15
3625570,15
3625576,15
3625674,15
3880137,17
3880205,16
3880209,18
3880237,19
3880253,18
3880317,15
3880399,16
3880521,18
3961151,16
3962429,21
3962777,16
4041477,14
4041969,14
4042047,14
4042483,14
4042577,14
4091365,17
4091885,17
4091931,17
4125625,15
4125675,15
4125751,15
4125875,15
4125963,15
4125977,15
4126031,15
4126087,15
4126133,15
4126141,15
4126277,15
4126361,15
4126497,15
4126665,15
4217263,17
4220455,22
4435510,22
4473678,7
4473736,7
4474026,7
4476874,22
4518970,22
4541398,16
4541400,16
4542346,13
4606806,22
4748096,13
4749464,14
4749764,14
5000002,18
5000018,22
5000054,22
5000056,21
5000450,17
5000534,22
5000722,21
5000754,20
5000790,16
5000834,19
5000854,17
5001214,18
5001324,21
5001348,20
5001388,19
5001460,18
5001608,21
5001818,22
5001890,18
5001898,22
5062990,9
5063862,9
5064364,9
5064396,9
5064578,17
5205350,7
5205678,7
5291804,4
